me_garage	一九二〇年代香蕉公司的汽车库，一辆老式汽车敞着引擎盖。一个穿工装、面容英俊沉着的年轻机修工正在示范操作，一个穿浅色连衣裙的年轻姑娘专注地看着他。空气中飘着几只黄蝴蝶。侧光从库门射入，尘埃可见。
me_butterflies_house	一九二〇年代村屋的卧室，傍晚。房间里群集盘旋着大量黄蝴蝶，多得几乎令人无法呼吸。一个中年女人站在门口，一手举着杀虫喷雾，脸上是惊恐与厌恶交织的表情。窗外天色将暗。诡异而美丽。
me_shot	一九二〇年代村屋的后院屋顶，深夜。一个年轻男人趴在瓦片上，刚揭开一块屋瓦，身体因中弹而弓起。院子里一个守夜人端着还在冒烟的枪。黄蝴蝶在他周围四散飞开。月光，剧烈而突然的暴力瞬间。
me_bed	一九二〇年代工人棚屋的简陋房间。一个年轻男人一动不动地仰卧在铁架床上，双眼睁着望向天花板，身体明显瘫痪。几只黄蝴蝶停在床架和他胸口上，赶不走。屋里空无一人。漫长的、无声的余生。
me_train	一九二〇年代行驶中的旧火车车厢。一个年轻姑娘坐在窗边，头发凌乱没有梳理，眼神完全空掉，双手放在膝上。一群黄蝴蝶在窗外紧紧跟着火车飞。车厢里没有别人。窗外香蕉园飞速掠过而她毫无反应。
me_fan	一艘内河航船的舱室内，闷热昏暗。天花板上一台风扇缓缓转动，一只黄蝴蝶正被扇叶撞得粉碎。下方床铺上一个年轻姑娘蜷缩着，睁眼望着风扇，一动不动。舷窗透进浑浊的光。窒息感。
me_convent	一座殖民时期修道院的阴暗大厅，墙上密密挂满历代主教的油画肖像。一个单薄的年轻姑娘独自站在大厅正中，穿着单薄的花衣裳和高帮皮鞋，冷得发抖。彩色玻璃窗射进的黄色光线正好洒在她身上。巨大空旷，人显得极小。
jas_strike	一九二〇年代香蕉种植园区的空地，成百上千的工人聚集在一起，有人举着简陋的标语，一个瘦削的男人站在木箱上向人群讲话。远处是香蕉园和铁轨。烈日当空，人群密集而躁动。
jas_station	一九二〇年代火车站前的大广场，挤满了三千多名工人、妇女和孩子，人山人海。广场四周的街口架着一排排机枪掩体，车站屋顶上站着一名军官举着喊话筒。烈日强光，人群还带着赶集般的轻松，与四周的枪口形成刺目反差。
jas_fire	一九二〇年代火车站广场，机枪开火的瞬间。密集的人群像被巨大的旋涡向中心卷去，前排的人倒下，后排的人回身冲撞。硝烟和尘土弥漫。一个男人怀里护着一个孩子在人潮中挣扎。极度混乱、剧烈动势。不要血腥特写，重在人潮与恐惧。
jas_traincar	一列货运火车车厢内部，漆黑，只有板条缝隙透进的微光。地板上密密码放着一具具尸体，像码放香蕉一样整齐。一个满头凝血的男人正撑起上身，惊恐地发现自己躺在尸体之上。压抑到极点的封闭空间。
jas_longtrain	深夜的荒野铁道，一列望不到头的货运火车悄无声息地驶过，车上没有一盏灯。车厢顶上依稀可见士兵和机枪的黑影。近处水沟里趴着一个浑身湿透的男人，抬头望着火车。暴雨将至，天低云重。
jas_kitchen	一九二〇年代村屋厨房的清晨。一个憔悴、头发结着血块的男人站在门口，手里捧着一杯咖啡；灶台边一个抱着孩子的女人用同情又困惑的眼神看着他，微微摇头。窗外下着雨。日常的温暖与不可言说的恐怖并置。
jas_invisible	一间堆满旧书和羊皮卷的小房间，深夜。一名军官高举提灯站在门口扫视，灯光正照在坐于行军床边的一个男人脸上——但军官的视线越过他，仿佛那里空无一人。男人神情庄严平静。强烈的提灯光束，诡异的静止。
jas_death	一间堆满羊皮卷的小房间。一个瘦削的男人一头扑在摊开的羊皮卷上，一动不动，双眼还睁着。旁边站着一个年轻男人怔怔看着他。窗外光线昏黄。极静。
rb_beauty	一八九〇年代村屋的长廊。一个极其美丽的年轻姑娘赤脚坐在地上，长发披散未加梳理，用手抓着饭吃，神情天真而全然自在，对周围毫无察觉。几个女人在稍远处刺绣，偷偷打量她。午后阳光。她美得不像属于这个世界。
rb_roof	一八九〇年代村屋的浴室屋顶。一个外乡男人趴在腐坏的瓦片上，刚揭开两片屋瓦往下窥视，脸上是着魔般的神情。屋顶正在他身下碎裂。下方是简陋的浴室水泥地。危险的瞬间，不见血。
rb_dead_man	一八九〇年代村屋浴室的水泥地面。几个外乡人正匆忙抬走一具刚摔落的男人尸体，神情惊骇又困惑，有人下意识地捂住口鼻。破碎的屋瓦散落一地，阳光从屋顶的破洞直射下来。克制，不血腥。
rb_plantation	一九〇〇年代香蕉种植园里的小径，两侧是高大茂密的香蕉林。一群戴帽子的少女走在中间，为首的是一个极美的姑娘。沟垄间劳作的男人纷纷直起身呆望着她们，神情如同着魔，有人痛苦地捂住胸口。空气凝滞，寂静得诡异。
rb_alone	一八九〇年代村屋的空房间。一个极美的年轻姑娘独自坐在床沿，长发披散，望着虚空，神情平静而空茫。屋里没有别人，没有装饰，没有镜子。一束光从高窗落在她身上。极致的孤独与澄澈。
